Column1,Column2,Column3,Column4,Column5,Column6,Column7
acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Activity
0.76005006,4.21005,8.932051,-0.275,-0.2336125,-0.11385,Upstairs
0.77205,4.2120004,9.11205,-0.276925,-0.2305875,-0.117837496,Upstairs
0.906,4.0800004,9.201,-0.271975,-0.2215125,-0.12485,Upstairs
0.76005006,4.1329503,9.265051,-0.2630375,-0.206525,-0.1299375,Upstairs
0.75495005,4.092,9.234,-0.2539625,-0.1885125,-0.13585,Upstairs
0.75705004,4.044,9.399,-0.245025,-0.1665125,-0.1419,Upstairs
0.73605,4.1470504,9.342,-0.2319625,-0.1475375,-0.143825,Upstairs
0.64500004,4.131,9.27705,-0.21505,-0.1285625,-0.1478125,Upstairs
0.702,4.1860504,9.0379505,-0.199925,-0.1145375,-0.149875,Upstairs
0.75495005,4.13805,8.98005,-0.19195,-0.1056,-0.1508375,Upstairs
0.68295,4.12095,8.87205,-0.190025,-0.1145375,-0.154825,Upstairs
0.78405005,4.2120004,8.779051,-0.19195,-0.1285625,-0.1568875,Upstairs
0.882,4.12605,8.755051,-0.20405,-0.1376375,-0.1568875,Upstairs
1.0570501,4.0279503,8.67405,-0.21395,-0.1376375,-0.1588125,Upstairs
1.06605,4.06395,8.66895,-0.22893749,-0.1175625,-0.160875,Upstairs
1.0180501,4.032,8.78895,-0.24695,-0.086625,-0.1648625,Upstairs
1.02795,4.09905,8.808001,-0.267025,-0.0485375,-0.1639,Upstairs
1.03695,4.18995,8.722051,-0.289025,-0.003575,-0.1648625,Upstairs
1.023,4.23105,8.643001,-0.31295,0.034375,-0.16885,Upstairs
1.06605,4.28595,8.65695,-0.3389375,0.0633875,-0.1808125,Upstairs
1.02495,4.30095,8.647051,-0.35694999,0.07645,-0.20185,Upstairs
0.91800004,4.22205,8.620951,-0.3639625,0.057475,-0.2358125,Upstairs
0.79995006,4.1350503,8.71695,-0.3609375,0.0193875,-0.27885,Upstairs
0.75705004,4.1449504,8.853001,-0.3529625,-0.02255,-0.3139125,Upstairs
0.71400005,3.97305,9.0379505,-0.342925,-0.05555,-0.3399,Upstairs
0.54195005,3.90105,9.13095,-0.331925,-0.0606375,-0.3458125,Upstairs
0.40605003,3.85995,9.073951,-0.32395,-0.041525,-0.3378375,Upstairs
0.31995,3.8100002,9.09795,-0.31405,-0.01155,-0.3218875,Upstairs
0.15,3.8719501,9.126,-0.3070375,0.0083875,-0.2919125,Upstairs
0.112050004,3.762,8.904,-0.298925,0.0224125,-0.2558875,Upstairs
0.171,3.8410501,8.98995,-0.2960375,0.034375,-0.2179375,Upstairs
0.21900001,3.8809502,9.198001,-0.293975,0.0374,-0.1808125,Upstairs
0.33405003,3.8119502,9.30795,-0.2869625,0.03135,-0.144925,Upstairs
0.58500004,3.82905,9.474,-0.2729375,0.0303875,-0.11385,Upstairs
0.58500004,3.9390001,9.394951,-0.253,0.034375,-0.0988625,Upstairs
0.666,3.8839502,9.535951,-0.2270125,0.0364375,-0.094875,Upstairs
0.66405004,3.8479502,9.394951,-0.198,0.02145,-0.0939125,Upstairs
0.59400004,3.7789502,9.330001,-0.1739375,-0.003575,-0.0939125,Upstairs
0.62100005,3.7210503,9.234,-0.1530375,-0.02255,-0.0928125,Upstairs
0.52500004,3.65895,9.118951,-0.13695,-0.045649998,-0.0859375,Upstairs
0.47700003,3.6420002,9.246,-0.12705,-0.064625,-0.06985,Upstairs
0.44595003,3.6730502,9.14805,-0.1219625,-0.0686125,-0.0488125,Upstairs
0.48705003,3.6420002,9.05895,-0.121,-0.06765,-0.02585,Upstairs
0.52500004,3.6780002,9.057,-0.117975,-0.0625625,-0.0048125,Upstairs
0.49395,3.7500002,9.117001,-0.120037496,-0.0595375,0.015125,Upstairs
